Mme Ruel Nicolle	FRANCE TELEPHONE
800 route des Maquisavals	LE BOURG
06670 St Martin du Var	31190 CAUJAC
Tel : 04.71.11.18.29	
Référence client : UOMIX 83	

Objet : Relance de courrier sans réponse	

St Martin du Var, Jeudi 22 janvier 07,	

Madame, Monsieur,	

Je vous informe par la présente que ma demande de résiliation n’a toujours pas été prise en compte malgré mon courrier envoyé le mois dernier. Je vous serais reconnaissante de bien vouloir donner suite à ma requête.	

En l’attente de votre réponse, veuillez agréer l’expression de mes salutations distinguées.	

Mme Nicolle Ruel
